𨴬: hú
𨴭: yǒng
𨴯: shǐ
𨴰: chù
𨴹: xiāo
𨴺: mén
𨴻: lǐ
𨴼: tí
𨴾: jiān
𨵂: zhǐ
𨵃: guā fǔ yuè
𨵄: guǎn
𨵆: qì
𨵈: fēi
𨵉: yǔ
𨵊: zhé
𨵋: wěi
𨵌: ě
𨵍: chān
𨵎: xī qí
𨵐: gǔ
𨵗: què
𨵘: huì
𨵚: xié
𨵛: yīng
𨵝: tà
𨵞: wāi
𨵟: fú
𨵠: jiè
𨵡: pì
𨵥: shěng
𨵦: yú
𨵧: kuā
𨵩: pì
𨵪: xié
𨵫: nüè
𨵬: xiàn
𨵭: jiàn
𨵮: xù
𨵰: bì
𨵴: nán
𨵶: liáng
𨵸: pián
𨵼: jìng
𨶀: tǎ
𨶁: yàn
𨶂: ài
𨶅: xiāo
𨶆: qiāng
𨶇: wǔ
𨶈: táng
𨶊: jùn
𨶐: kuò
𨶗: làng
𨶙: něng
𨶜: dòu dǒu
𨶝: shú
𨶟: jiǎo
𨶠: niè
𨶢: yú
𨶨: cè
𨶪: jiǎo liú
𨶬: huà
𨶭: wén
𨶮: yē
𨶯: é
𨶰: guāng
𨶱: huā
𨶲: jiāo
𨶺: lèi
𨶼: shāng
𨶽: yòng
𨶿: dēng
𨷀: guān
𨷁: niú
𨷃: suì
𨷄: xiàng
𨷆: sà
𨷇: chāng
𨷎: rùn
𨷐: yūn
𨷒: fēn
𨷓: jiàn
𨷔: xù
𨷘: xì
𨷙: shú
𨷥: xié
𨷦: lì
𨷩: tóu
𨷬: mǐ
𨷭: chán
𨷮: huō
𨷱: zhuǎn
𨷲: yuè
𨷻: lán
𨷽: yán
𨷾: dàng
𨷿: xiàng
𨸀: yuè
𨸁: tǐng
𨸂: bēng
𨸃: sàn
𨸄: xiàn
𨸅: dié
𨸆: pì
𨸇: pián
𨸉: tǎ
𨸋: jiāo
𨸌: yē
𨸎: yuè
𨸐: réng
𨸑: qiǎo
𨸒: qí
𨸓: diāo
𨸔: qí wéi
𨸗: hàn
𨸘: yuán
𨸙: yóu
𨸚: jí
𨸛: gài
𨸜: hāi
𨸝: shì
𨸟: qū
𨸩: wèn
𨸬: zhèn
𨸭: pō
𨸮: yán yǔn
𨸯: gū
𨸰: jú
𨸱: tiàn niǎn
𨸷: è
𨸺: yā
𨸻: lìn
𨸼: bì
𨹀: zǐ
𨹁: hóng
𨹃: duǒ duò
𨹅: duì
𨹆: xuàn
𨹈: shǎn yáng
𨹊: shǎn
𨹋: yáo
𨹌: rǎn
𨹔: tuó
𨹗: bīng
𨹘: xù
𨹙: tūn
𨹚: chéng
𨹜: dòu
𨹝: yì yà
𨹡: chè
𨹵: juǎn
𨹶: jī
𨹸: zhào
𨹹: bēng bèng
𨹻: tiǎn
𨺀: pēng
𨺅: fù
𨺖: tuǒ
𨺘: xián
𨺙: nì
𨺚: lóng
𨺝: zhuó
𨺟: zhēng
𨺠: shǔn
𨺡: zōng
𨺢: fēng
𨺣: duàn
𨺤: pì
𨺥: yǎn
𨺦: sǒu
𨺧: qiú
𨺨: è
𨺩: qián
𨺫: qiǎn
𨺭: cā
𨺮: xùn
𨺵: zhuì
𨺸: mǎo
𨺹: jiǎo
𨺿: zhǎn
𨻀: pí bī
𨻁: xī
𨻂: yàn
𨻃: fèi
𨻄: niè
𨻆: zhì
𨻈: suǒ
𨻊: yì
𨻌: lěi
𨻍: xù
𨻏: yì
𨻒: wēi
𨻕: jī
𨻖: chēn
𨻗: dié
𨻣: yuán
𨻥: xí
𨻧: liú
𨻨: suǒ
𨻱: bēng
𨻲: xià
𨻳: yàn yān
𨻵: cuī zuī duì
𨻷: kāng
𨻺: qīng
𨻻: lóu
𨻼: bī
𨼈: zhàn
𨼉: cuàn
𨼊: wú
𨼋: xū
𨼌: chēn
𨼍: háo
𨼎: jué
𨼐: chèn
𨼑: chá
𨼒: chǎn
𨼓: zhí
𨼔: xún
𨼣: gé
𨼤: chén
𨼥: yè gé
𨼪: chǔ
𨼫: qú
𨼬: xiè
𨼮: zhàn
𨼯: kěn
𨼱: jué
𨼽: qú
𨼿: méng
𨽀: yè
