𥿄: dī
𥿅: shì
𥿆: cí
𥿇: shū
𥿉: wà mò
𥿊: chè
𥿋: fán biàn
𥿍: gū
𥿎: yuān wǎn
𥿑: guān lún
𥿚: qiè
𥿜: zhǎn zhěn
𥿝: dài
𥿞: shē
𥿦: zhōu
𥿧: xiǎng
𥿨: míng
𥿩: zì
𥿪: huāng
𥿫: mí yì wèi
𥿭: xì
𥿮: zhì shì
𥿯: pài
𥿰: duǒ
𥿴: cì
𥿵: móu
𥿷: chào
𥿹: yì
𥿺: gōu
𦀇: jīng
𦀓: zēng jiē
𦀔: pīng
𦀕: yè
𦀖: jié
𦀘: pī bī
𦀛: shā
𦀜: zhuàng
𦀝: jiǒng
𦀠: liú
𦀡: yǔ
𦀣: jū
𦀨: nuò
𦀸: mào
𦁄: chēn
𦁆: zhuàn juàn shuàn
𦁇: niàn
𦁈: kòng
𦁉: jiē
𦁊: huà
𦁍: xīn
𦁎: zuó
𦁏: yàn
𦁐: jué
𦁕: hū
𦁖: zhòu
𦁗: shè
𦁙: yǎn
𦁛: xiè dié
𦁜: dié
𦁟: chēn chén zhěn
𦁲: jiǎn
𦁳: jì
𦁶: chuò
𦁷: hóng
𦂀: dá
𦂄: kāi
𦂅: xīng xǐ
𦂆: huì
𦂇: jiǎn
𦂈: zhòu
𦂉: zhǎ
𦂊: fù
𦂋: chì
𦂌: běng
𦂍: nuò
𦂑: jì
𦂒: qián
𦂔: wàn
𦂕: óu
𦂖: bì
𦂗: shuò
𦂠: jīng
𦂡: yè
𦃄: fěi
𦃇: lí
𦃊: lì
𦃋: pí
𦃒: suì
𦃓: liú
𦃔: hé
𦃕: hǔn
𦃖: tǎn
𦃗: shuò
𦃘: zhì
𦃙: bó
𦃝: xì
𦃡: pó tāo
𦃢: qǔn
𦃤: mù
𦃽: yōng
𦄂: dài
𦄊: qǐ
𦄋: diǎo
𦄌: niè
𦄍: shuǎng
𦄏: shāo
𦄐: kǔn mí
𦄑: suì
𦄓: dōu
𦄔: dié
𦄜: gōng
𦄯: zhuǎn
𦄰: guó
𦄼: xū
𦄽: qú
𦅀: xún
𦅃: jiāo qiāo
𦅄: zhé
𦅆: diàn
𦅇: sāng
𦅈: bēng
𦅊: suǒ
𦅋: qiǎn
𦅏: xū
𦅑: xún
𦅔: mò
𦅵: suì
𦅶: là liè
𦅷: zhǔ zhù
𦅸: zhòu
𦅺: lì
𦅼: dān
𦅽: jú
𦅿: yùn
𦆀: chǎn
𦆁: luó
𦆄: sè
𦆆: lián
𦆈: zuǎn zuí
𦆋: lài
𦆌: shuǎng
𦆍: qiè
𦆘: dōu
𦆞: wù
𦆟: méng
𦆡: jì
𦆤: chī
𦆦: nǐ
𦆸: yáo
𦆻: là
𦆾: lǜ
𦇀: suì
𦇁: fū
𦇄: lěi
𦇅: wěi
𦇎: cōng
𦇔: lì
𦇖: pín
𦇘: jūn
𦇙: jǔ
𦇛: là
𦇧: jì
𦇪: miè
𦇬: yào
𦇭: biān
𦇱: cóng
𦇲: sī chī
𦇵: sī
𦇸: hé
𦈃: nàng
𦈅: dié
𦈈: chè
𦈉: yùn
𦈋: xiǔ
𦈌: shū
𦈎: chǎn
𦈏: mín
𦈐: lián
𦈑: yīn
𦈒: xīng
𦈓: wēi
𦈔: gǔ
𦈕: tóu
𦈖: tā
𦈗: fěi
𦈘: dā
𦈙: niè
𦈚: cù
𦈛: zuǒ
𦈜: jié
𦈝: xuàn
𦈞: bó
𦈟: jīn
𦈠: yǐn
𦈡: xū
𦈣: yú
𦈤: xiòng
𦈦: qì
𦈧: bēi
𦈨: xíng
𦈩: gǒng
𦈬: zuǐ
𦈰: jiē
𦈲: kāi gǔ
𦈵: xíng
𦈶: bēi
𦈷: shū
𦈸: yù
𦈺: zhǒu
𦈻: zhǎn
𦉂: zhōng
𦉆: chá
𦉈: chuí
𦉉: liù
𦉎: suī
𦉐: zhǔ
𦉙: biàn
𦉝: xìn
𦉟: yà
𦉢: líng
𦉧: yà
𦉬: tīng
𦉹: dí
𦊁: pí
𦊂: hù
𦊃: cén
𦊊: tiān
𦊋: mǒu
𦊌: juǎn
𦊎: mǒu
𦊐: jù
𦊑: liǔ
𦊓: lǐng
𦊗: liǔ
𦊘: hù
𦊦: fú
𦊧: hú
𦊪: è
𦊫: gōng
𦊬: gū
𦊱: guà
𦊹: lüè
𦊻: fán
𦊼: lǜ
𦊽: méng
𦊾: fú
𦊿: liú
𦋅: xié
𦋆: gū
𦋈: xiàn
𦋉: bó
𦋋: jì
𦋓: quān
𦋔: lù
𦋞: shuò
𦋡: mǒu
𦋢: yù
𦋣: hàn
𦋩: yuè
𦋪: dàn
𦋯: yú
𦋰: jiān
𦋳: gāng
𦋿: cáo
𦌀: shèn
𦌁: liǔ lóu
𦌆: jiāo
𦌉: sù
𦌊: sù
𦌋: zhòng
𦌒: liào
𦌔: xuǎn
𦌕: lù
𦌗: jì
𦌚: yán
𦌟: lù
𦌡: mǐn
𦌢: tí
𦌦: huàn
𦌩: yì
𦌪: tǎn
𦌬: wǔ wú
𦌰: jī
𦌷: dú
𦌸: kūn
𦌺: jūn
𦌿: shī
𦍀: nàn
𦍁: pò
𦍄: shū
𦍅: quàn
𦍌: rèn
𦍏: fén
𦍒: tà
𦍓: tún
𦍕: yáng
𦍦: duō
𦍧: cī
𦍩: gǔ
𦍪: fén
𦍭: róu
𦍱: gāo
𦍲: xiáng yàng
𦍴: xiáng
𦍵: hǒu
𦍷: tāo
𦍸: shàn
𦍹: yáng
𦍺: zì
𦍼: yuán
𦎄: sú
𦎇: chuàn
𦎈: xiáng xiè
𦎊: bān
𦎌: mǎn
𦎎: fǔ
𦎏: lǎ
𦎐: lǐ
𦎒: jié
𦎓: yōu
𦎘: yù
𦎚: chì
𦎜: chuàn
𦎝: yì
𦎞: shān
𦎢: jí
𦎣: yān
𦎦: wù
𦎧: chún dūn dùn
𦎨: máng
𦎭: fú
𦎮: jiā
𦎯: gòu
𦎰: gú
𦎱: jiá
𦎵: xián
𦎷: jìn
𦎸: zì
𦎹: lóu
𦎼: gòu
𦏀: rén
𦏂: shān
𦏅: jué
𦏆: tóng
𦏇: yǒu
𦏔: jiān
𦏕: dú
𦏗: hú
𦏛: sāo
𦏜: yù
𦏢: mài
𦏤: zhī
𦏥: yān
𦏦: gāo
𦏨: huài
𦏮: quán
𦏱: yǎng chài
𦏳: zuǐ
𦏷: xiāo
𦏸: yì chí
𦏹: yǎn
𦏺: hóng gòng
𦏻: yú yù
𦏿: chì
𦐁: chí
𦐄: háng
𦐅: sè
𦐆: pā
𦐇: tà
𦐈: fēn
𦐉: chī
𦐌: hóng
𦐍: xuè
𦐖: zhǐ
𦐛: qú yù
𦐠: xī
𦐡: fú
𦐣: shū
𦐤: hài
𦐦: pò
𦐨: cǐ
𦐰: chài
𦐳: hōng
𦐸: pǎo
𦐹: shēn
𦐺: xiāo
𦐽: xuān líng
𦐾: cǐ
𦐿: tíng
𦑀: pò
𦑇: tà
𦑈: chā
𦑋: zú
𦑌: huò
𦑍: xù
𦑎: yàn
𦑏: chài
𦑑: tuó
𦑘: xián
𦑙: xuān
𦑚: hóu
𦑛: huǎn
𦑜: gé
𦑝: chǒng
𦑞: bì
𦑟: hōng
𦑠: hōng
𦑡: chí chī
𦑣: chá
𦑯: zhǎ
𦑱: zhái huò
𦑲: tà
𦑵: pò
𦑶: tà
𦑸: yóu
𦑹: fú
𦑺: cī
𦑻: dá
𦑼: tǎ
𦑾: liú
𦒁: cī
𦒃: hōng
𦒅: hàn
𦒆: lā
𦒈: shī
𦒍: tóng
𦒎: huì
𦒏: hé
𦒐: piē
𦒑: yù
𦒜: xiān
𦒝: hǎn
𦒟: pò
𦒦: là
𦒧: huò
𦒰: tài
𦒴: lǎo
𦒶: shù
𦒺: dào
𦒻: diǎn
𦓈: xiòng
𦓋: wàng
𦓍: chě
𦓎: nài
𦓐: jué
𦓓: ér liè
𦓔: ér xū
𦓕: nǘ
𦓖: nǜ
𦓝: zhuǎn
𦓢: nuò
𦓤: liè
𦓥: lěi
𦓧: bā
𦓬: chēng
𦓯: guī
𦓰: quán
𦓱: gè
𦓳: gǒng
𦓴: shào shāo
𦓹: lái
𦓺: zhēng
𦓻: yì
𦓼: gǔn
𦓽: wēi
𦓾: lǔn kǔn
𦔂: shí
𦔃: yīng
𦔄: shěng
𦔅: tú
𦔆: bì
𦔈: zé
𦔉: zhòng
𦔋: rǒng
𦔌: qí sí
𦔍: fù
𦔎: cè
𦔓: lí
𦔔: mán màn
𦔖: lián
𦔗: biāo
𦔛: chuáng
𦔜: yì
𦔠: pài
𦔥: yì shì
𦔦: kuài
𦔩: biāo pāo
𦔫: chì yì
𦔬: qú
𦔭: mò
𦔮: zhé
𦔯: shà
𦔰: shà xū
𦔷: yāo
𦔸: gōng
𦔹: nài
𦔼: xiè
𦔿: tiàn
𦕆: yé
𦕉: shā
𦕏: sào
𦕒: diān
𦕓: xù
𦕙: qú
𦕠: hōng
𦕡: shèng
𦕢: tìng
𦕰: duo
𦕵: liáo
𦕷: hòng
𦕸: lǐ
𦕺: xiǎng gāo
𦕽: shèn
𦖀: fū
𦖈: yǎn
𦖉: wǎng
𦖊: qī
𦖋: duǒ
𦖍: huà
𦖎: qiān
𦖐: xiè
𦖝: cì
𦖞: shēng wén
𦖢: èr
𦖤: xīng
𦖦: tuì
𦖧: yàn
𦖩: liè
𦖬: mí
𦖸: zòng
𦖺: zī
𦖼: hú
𦖽: yíng
𦖾: lián
𦖿: dā
𦗀: tián
𦗁: tiàn
𦗋: róng
𦗍: ài
𦗐: ài
𦗑: zhé
𦗒: guō
𦗓: lù
𦗔: zhāo
𦗕: mí
𦗖: liáo
𦗗: zhé
𦗛: qǔ
𦗜: cōng
𦗟: tīng tè
𦗡: tán
𦗢: zhǎn
𦗣: hú
𦗥: piē
𦗧: dā
𦗨: róng
𦗮: nǎo
𦗳: náng
𦗴: dāng
𦗵: jiǎo
𦗻: jù
𦗼: ěr
𦘊: lì
𦘌: guō
𦘍: wài wà
𦘒: niè
𦘔: jīn
𦘩: pǐ
𦘪: chì
𦘲: pǐ
𦘳: yì
𦘴: dū
𦘵: wǎ
𦘶: xūn
𦘸: qì
𦘹: shàn yuè
𦘼: xū
𦘿: hē
𦙀: pàn
𦙂: pēi
𦙄: xiōng
𦙆: chǐ
𦙇: tān
𦙈: zuì cuì
𦙉: zuǎn
𦙊: qì
𦙋: dū
𦙙: shuǐ
𦙜: nǎ
𦙝: xī
𦙧: chǎo
𦙨: yì
𦙫: zhēng
𦙮: jú
𦙯: dài
